E1260	O prazo de aceitação da versão do leiaute da NFS-e expirou.	versao	Prazo de aceitação da versão do leiaute NFS-e ultrapassado.
E0142	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o prestador for identificado pelo NIF e o emitente por CNPJ.	endExt	Se o NIF do prestador de serviço foi informado e o emitente da DPS, tomador ou intermedirio (tpEmit = 2 ou 3), for identificado por CNPJ, então o grupo de informações de endereço no exterior do p
E0146	O código de país informado para o endereço no exterior do prestador do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do prestador do serviço, conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.	cPais	O código de país informado para o endereço no exterior do prestador do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.
E0148	Email inválido.	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).
E0160	No mês de competência da NFS-e, a opção de situação perante o Simples Nacional, do prestador, informada na DPS não está de acordo com o cadastro Simples Nacional.	opSimpNac	Opção de situação perante o Simples Nacional do prestador, informada na DPS, não está de acordo com o cadastro Simples Nacional na data de competência informada na DPS. \n Se CNPJ do prestador
E0161	NFS-e cujo emitente for MEI somente poderá ser compartilhada pelo município com o ADN se a data de competência, informada na NFS-e, for menor ou igual a 31/08/2023.		
E0162	Não é permitido ao não optante do Simples Nacional e o MEI preencherem o campo de indicação do regime de apuração dos tributos apurados.	regApTribSN	O regime de apuração dos tributos para o optante do Simples Nacional (ME/EPP) não pode ser preenchido quando o prestador de serviço não for optante do simples nacional ou for MEI, ou seja, o camp
E0166	É obrigatorio o preenchimento do campo de regime de apuração dos tributos do SN para o optante do Simples Nacional ME/EPP.		
E0172	O Regime Especial de Tributação deve ser "Nenhum" (regEspTrib = 0) quando o serviço prestado for diferente de Tributável (tribISSQN = 1), ou seja, tribISSQN = 2, 3 ou 4.	regEspTrib	Não é permitido informar Regime Especial de Tributação, ou seja, regEspTrib deve ser igual a 0 (Nenhum), quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN
E0174	Quando o prestador da NFS-e é MEI (opSimpNac = 2) o regime especial de tributação deve ser "Nenhum" (regEspTrib = 0).		
E0175	Quando o prestador optante pelo Simples Nacional tiver o regime de apuração dos tributos ocorrendo também pelo Simples Nacional, o regime especial de tributação do ISSQN deve ser "Nenhum" (regEspTrib = 0).		
E0177	Regime especial de tributação informado na DPS não é admitido na parametrização do município de incidência do ISSQN.		
E0176	É permitido informar Profissional Autônomo na DPS somente se o prestador de serviço estiver parametrizado como Profissional Autônomo, na data de competência informada na DPS, em pelo menos um dos municípios, emissor ou de incidência do ISSQN (cLocIncid ou cLocEmi) ou se estiver admitido sem verificação (parâmetro "Informado na DPS pelo Emitente - Sem verificação"), conforme parametrização do município de incidência do ISSQN na data de competência informada na DPS.		
E0178	Regime especial de tributação não permitido para o prestador do serviço com código de tributação na data de competência, informados na DPS, conforme parametrização do município de incidência do ISSQN.		
E0187	O grupo de informações relativas ao tomador/adquirente do serviço é obrigatório para o indicador de operação informado.	toma	Se campo cIndOp for igual a 030102, 050102, 100101, 100301, 100501, 030103, 050103, 100102, 100201, 100302, 100401, 100502 ou 100601, então o grupo toma deve ser informado.
E0188	CNPJ do tomador informado na DPS é inválido.	CNPJ	CNPJ informado na DPS é inválido (verificar DV).
E0190	CNPJ do tomador não encontrado no cadastro CNPJ.		
E0194	CNPJ do emitente tomador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.		
E0202	Na emissão da NFS-e não é permitido que o prestador do serviço seja igual ao tomador do serviço. 		
E0204	CNPJ ou CPF do tomador não foi informado, mas existe uma indicação para retenção do ISSQN na DPS no campo de tipo de "Retenção do ISSQN".		
E0206	CPF do tomador informado na DPS é inválido.		
E0207	CPF do tomador não encontrado no cadastro CPF.		
E0212	CPF do emitente tomador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CPF e CNC NFS-e.		
E0222	O tomador de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.	NIF	Se o campo tpEmit for ígual a 2, então NIF do tomador não pode ser informado.
E0223	O NIF ou cNaoNIF do tomador deve ser informado quando o grupo de informações de endereço no exterior do tomador de serviços foi informado.		
E0224	O tomador de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.		
E0226	Valor 0 para o motivo da não informação do NIF do tomador não é permitido na Sefin do Sistema Nacional NFS-e.		
E0228	A IM deve ser informada para o emitente tomador do serviço na DPS, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	IM	Se o emitente for o prestador de serviço (tpEmit = 2) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informa
E0231	IM do emitente tomador não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.		
E0232	IM do tomador não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.		
E0229	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 		
E0233	O nome tomador deve ser preenchido obrigatoriamente quando o NIF do tomador for preenchido.	xNome	Se NIF for preenchido então o campo xNome deve ser preenchido obrigatoriamente.
E0234	O endereço do tomador é obrigatório para o indicador de operação informado ou quando a incidência do ISSQN definida para o serviço prestado ocorrer no local do estabelecimento/domicílio do tomador.	end	Quando o emitente da DPS informar um subitem da lista de serviço cuja incidência do ISSQN ocorra no local do estabelecimento/endereço do tomador, conforme planilha MUN.INCID_INFO.SERV.  \n ou cInd
E0235	O endereço nacional do tomador do serviço deve ser informado na DPS quando o tomador for identificado pelo CNPJ.	endNac	Se o tpEmit é igual a 1 e o tomador foi identificado pelo CNPJ, então o grupo de informações de endereço nacional do tomador do serviço deve ser informado obrigatoriamente.
E0236	O endereço nacional do tomador do serviço não deve ser informado na DPS quando o próprio tomador do serviço for o emitente da DPS.		
E0237	O endereço nacional do tomador do serviço deve ser informado na DPS quando o valor do ISSQN for retido pelo tomador, exceto se o emitente da DPS é o próprio tomador do serviço.		
E0238	O código do município informado na DPS para o endereço do tomador do serviço não existe conforme tabela de município do IBGE.	cMun	O código do município informado para o endereço do tomador do serviço não existe, conforme tabela de municípios do IBGE.
E0240	O CEP informado para o endereço nacional do tomador do serviço não existe ou não pertence ao município do endereço do tomador.	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do tomador do serviço.
E0242	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o tomador for identificado pelo NIF e o emitente por CNPJ.	endExt	Se o NIF do tomador de serviço foi informado e o emitente da DPS for identificado por CNPJ, então o grupo de informações de endereço no exterior do tomador do serviço deve ser informado obrigato
E0246	O código de país informado para o endereço no exterior do tomador do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do tomador do serviço, conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.	cPais	O código de país informado para o endereço no exterior do tomador do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.
E0247	Email inválido.	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).
E0248	CNPJ do intermediário informado na DPS é inválido.	CNPJ	CNPJ informado na DPS é inválido (verificar DV).
E0250	CNPJ do intermediário não encontrado no cadastro CNPJ.		
E0254	CNPJ do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.		
E0262	Na emissão da NFS-e não é permitido que o prestador do serviço seja igual ao intermediário do serviço. 		
E0264	CNPJ ou CPF do intermediário não foi informado, mas existe uma indicação para retenção do ISSQN na DPS no campo de tipo de "Retenção do ISSQN".		
E0266	CPF do intermediário informado na DPS é inválido.		
E0268	CPF do intermediário não encontrado no cadastro CPF.		
E0272	CPF do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CPF e CNC NFS-e.		
E0280	O intermediário de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.	NIF	 Se o campo tpEmit for ígual a 3, então NIF do intermediário não pode ser informado.
E0281	O NIF ou cNaoNIF do intermediário deve ser informado quando o grupo de informações de endereço no exterior do intermediário de serviços foi informado.		
E0284	O intermediário de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.		
E0286	Valor 0 para o motivo da não informação do NIF do intermediário não é permitido na Sefin do Sistema Nacional NFS-e.		
E0287	A IM não foi informada para o emitente intermediário do serviço na DPS.	IM	Se o emitente for o prestador de serviço (tpEmit = 3) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informa
E0289	IM do emitente intermediário não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.		
E0290	IM do intermediário não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.		
E0288	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 		
E0292	O nome intermediário deve ser preenchido obrigatoriamente quando o NIF do intermediário for preenchido.	xNome	Se NIF for preenchido então o campo xNome deve ser preenchido obrigatoriamente.
E1388	O endereço nacional do intermediário do serviço deve ser informado na DPS quando o intermediário for identificado pelo CNPJ.	endNac	Se o tpEmit é igual a 1 e o intermediário foi identificado pelo CNPJ, então o grupo de informações de endereço nacional do intermediário do serviço deve ser informado obrigatoriamente.
E0291	O endereço nacional do intermediário do serviço não deve ser informado na DPS quando o próprio tomador do serviço for o emitente da DPS.		
E0293	O endereço nacional do intermediário do serviço deve ser informado na DPS quando o valor do ISSQN for retido pelo intermediário, exceto se o emitente da DPS é o intermediário do serviço.		
E0294	O código do município informado na DPS para o endereço do intermediário do serviço não existe conforme tabela de município do IBGE.	cMun	O código do município informado para o endereço do intermediário do serviço não existe, conforme tabela de municípios do IBGE.
E0296	O CEP informado para o endereço nacional do intermediário do serviço não existe ou não pertence ao município do endereço do intermediário.	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do intermediário do serviço.
E0298	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o intermediário for identificado pelo NIF e o emitente por CNPJ.	endExt	Se o NIF do intermediário de serviço foi informado e o emitente da DPS for identificado por CNPJ, então o grupo de informações de endereço no exterior do tomador do serviço deve ser informado o
E0299	O código de país informado para o endereço no exterior do intermediário do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do intermediário do serviço, conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.	cPais	O código de país informado para o endereço no exterior do intermediário do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.
E0300	Email inválido.	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).
E0302	O código do local da prestação do serviço não existe conforme a tabela de municípios IBGE disponibilizada no ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.	cLocPrestacao	Se informado, o código do município deve existir na tabela de municípios do IBGE ou possuir a codificação 0000000, que representa "Águas Marítimas".
E1402	Quando é informado o subitem 200101 para o código de tributação nacional (cTribNac), não é permitido informar 0000000, que representa "Águas Marítimas", para o local de prestação do serviço (cLocPrestacao).		
E0304	Informe um código de país existente e diferente de Brasil (BR), conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.	cPaisPrestacao	Se informado, o código do país deve existir na tabela de país ISO2 e ser diferente de Brasil (BR).
E0310	O código de tributação nacional informado não existe \n conforme a lista de serviços nacional do Sistema Nacional NFS-e.	cTribNac	Verificar se o código de tributação nacional informado existe conforme a lista de serviços nacional do Sistema Nacional NFS-e.
E0312	O código de tributação nacional informado não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS,  \n conforme a lista de serviços nacional do Sistema Nacional NFS-e.		
E0314	O código de tributação municipal informado não existe ou não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, 	cTribMun	Verificar se o código de tributação municipal informado existe e está administrado pelo município de incidência do ISSQN na data de competência informada na DPS. \n  \n Exceto quando o emiten
E0315	Não é permitido informar 000 para o codigo de tributação municipal na DPS.		
E0316	Código da lista NBS informado inexistente tabela de NBS do sistema.	cNBS	O código da lista NBS informado na DPS não existe, conforme tabela NBS do ANEXO_B-NBS2-LISTA_SERVICO_NACIONAL-SNNFSe do Manual Integrado do Sistema Nacional NFS-e.
E0318	É obrigatório informar na DPS um item da NBS para casos de exportação de serviço.		
E0320	É obrigatório informar na DPS um item da NBS para casos de importação de serviço.		
E0322	É obrigatório informar na DPS um item da NBS se for declarada qualquer informação de IBS/CBS.		
E0330	É obrigatório prestar informações de comércio exterior para as situações de exportação de serviços.	comExt	EXPORTAÇÃO DE SERVIÇO \n  \n Se o emitente for o prestador (tpEmit = 1), e qualquer um dos campos abaixo for informado na DPS  \n  \n País no exterior do endereço do tomador do serviço, \n 
E0331	É obrigatório prestar informações de comércio exterior para as situações de importação de serviços.		
E0333	Valor 0 para o modo de prestação não é permitido na Sefin do Sistema Nacional NFS-e.	mdPrestacao	Se o valor do campo mdPrestacao for 0, então a DPS deve ser rejeitada.
E0341	Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo prestador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.	mecAFComexP	Se o valor do campo mecAFComexP for 0, então a DPS deve ser rejeitada.
E0343	Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo tomador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.	mecAFComexT	Se o valor do campo mecAFComexT for 0, então a DPS deve ser rejeitada.
E0345	Valor 0 para o Vínculo da Operação à Movimentação Temporária de Bens não é permitido na Sefin do Sistema Nacional NFS-e.	movTempBens	Se o valor do campo movTempBens for 0, então a DPS deve ser rejeitada.
E0352	O preenchimento do campo nDI (Número da Declaração de Importação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 2.	nDI	Se movTempBens = 2, então o preenchimento de nDI é obrigatório
E0354	O preenchimento dos campos nDI (Número da Declaração de Importação) ou do nRE (úmero do Registro de Exportação) não é permitido quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 1.		
E0356	O preenchimento do campo nRE (úmero do Registro de Exportação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 3.		
E0370	O grupo de informações de obra é obrigatório quando o código de tributação nacional pertencer a um dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 1414.03 e 14.14.04 da lista de serviços.	obra	 Se o código de tributação nacional pertencer a um dos subitens, 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 14.14.03 e 14.14.04 da
E0372	O grupo de informações de obra não é permitido quando o código de tributação nacional não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01, 07.19.01, 1414.03 e 14.14.04 da lista de serviços, com exceção do código 99.01.01.		
E0373	Código CIB inválido.	cCIB	Código do Cadastro Imobiliário Brasileito - CIB deve ser um código válido - 7 caracteres + DV
E0380	Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da obra.	CEP	O CEP a ser informa para endereço da obra deve pertencer ao município que foi informado como local da prestação do serviço.
E0382	O CEP não deve ser informado quando o endereço da obra ocorrer no exterior do país.		
E0384	O grupo de informações de endereço da atividade de obra ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.	endExt	Se o pais local da prestação do serviço de obra foi informado (cPaisPrestacao foi informado), então o grupo de informações de endereço no exterior deve ser informado.
E0386	O grupo de informações de endereço da atividade de obra ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.		
E0390	O grupo de informações de Atividade/Evento é obrigatório quando o código de tributação nacional pertencer ao item 12 da lista de serviços.	atvEvento	Se o código de tributação nacional pertencer ao item 12 da lista de serviços, então o grupo de informações de Atividade/Evento é obrigatório.
E0392	O grupo de informações de Atividade/Evento não é permitido quando o código de tributação nacional não pertencer ao item 12 da lista de serviços, com exceção do código 99.01.01.		
E0398	Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da atividade ou evento.	CEP	Se o município local da prestação da atividade de evento foi informado (cMunPrestacao foi informado), então o CEP deve ser informado e pertencer a este município.
E0400	O CEP não deve ser informado quando o endereço da atividade de evento ocorrer no exterior do país.		
E0402	O grupo de informações de endereço da atividade de evento ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.	endExt	Se o pais da prestação da atividade de evento foi informado (cPaisPrestacao foi informado), então o grupo de informações do endereço no exterior deve ser informado.
E0404	O grupo de informações de endereço da atividade de evento ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.		
E0420	O documento de referência deve ser obrigatoriamente informado quando o emitente da DPS for o tomador ou intermediário do serviço.	docRef	Quando o emitente da DPS for o tomador ou o intermediário do serviço (tpEmit = 2  ou 3, respectivamente) este campo deve ser obrigatoriamente informado.
E0423	O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS.	vReceb	O valor recebido deve ser informado na DPS quando o intermediário do serviço for o emitente da DPS (tpEmit = 3).
E0424	O valor recebido não deve ser informado na DPS quando o prestador ou tomador do serviço for o emitente da DPS.		
E0425	O valor recebido não pode ser menor que o valor do serviço informado na DPS.		
E0427	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Deduções/Reduções e Benefício Municipal.	vServ	vDR é: \n um valor informado pelo emitente para dedução/redução da BC do ISSQN; \n  \n vCalcDR é: \n o cálculo do valor de dedução/redução da BC do ISSQN: \n  \n 1) Quando o valor de 
E0428	O valor do serviço deve ser maior ou igual ao somatório dos valores informados para Desconto Incondicionado, Desconto Condicionado, Deduções/Reduções, Benefício Municipal, valores de tributos devidos CP, IRRF, CSLL e ISSQN se o valor deste tributo for retido.		
E0429	O ISSQN não pode ser objeto de redução de base de cálculo que resulte em carga tributária menor que a decorrente da aplicação da alíquota mínima de 2,0% do valor do serviço, exceto para os serviços a que se referem aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.		
E0431	O valor do desconto incondicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.	vDescIncond	Verificar o valor do desconto incondicionado informado na DPS que deve ser menor que o valor do serviço e maior que zero.
E0432	O valor do desconto condicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.	vDescCond	Verificar se o valor do desconto condicionado informado na DPS deve ser menor que o valor do serviço e maior que zero.
E0435	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN quando ocorrer Imunidade, Exportação do serviço ou Não incidência.	vDedRed	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução para o ISSQN quando ocorrer "Imunidade" (tribISSQN = 2), "Exportação de serviço" (tribISSQN =
E0436	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN quando o prestador de serviço é MEI.		
E0438	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN, quando o prestador de serviço tiver algum regime especial de tributação.		
E0439	Não é permitido o preenchimento dos campos do grupo de informações relativas à Dedução/Redução do ISSQN, quando o benefício municipal informado na DPS for do tipo "Isenção".		
E0440	O tipo de dedução/redução informado na DPS não é permitida pelo município de incidência do ISSQN, conforme parametrizações do código de serviço do município de incidência.		
E0441	Não é permitido o preenchimento de informações relativas à Dedução/Redução para o prestador de serviço ME/EPP, apurando pelo SN conforme parametrização do código de serviço admnistrado pelo municipio de incidência do ISSQN.		
E0442	O tipo de dedução/redução informado na DPS não é permitida para o prestador de serviço ME/EPP, apurando pelo SN.		
E0453	O valor percentual para dedução/redução deve ser maior que 0 e menor ou igual a 100%.	pDR	Se informado, o valor percentual para dedução/redução deve ser maior 0 e menor ou igual a 100%.
E0454	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por percentual.		
E0444	O valor percentual  de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.		
E0446	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por valor monetário.	vDR	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por valor monetário, conforme parametrização do município de incidência conveniado ao Sistema Na
E0447	O valor de dedução/redução informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.		
E0449	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por documento informado.	documentos	Código de serviço informado na DPS não permite dedução/redução na base de cálculo do ISSQN por documentos, conforme parametrização do município de incidência conveniado ao Sistema Nacional
E0455	Informe uma chave de NFS-e válida.	chNFSe	Chave de NFS-e inválida. \n  \n 1 - Verificar DV da chave de NFS-e informada neste campo desta DPS;
E0456	NFS-e não existe na base de dados do autorizador de NFS-e nacional. Informe uma chave de NFS-e existente.		
E0458	Uma NFS-e cancelada não pode ser informada para dedução/redução.		
E0460	Informe uma chave de NF-e válida.	chNFe	Chave de NF-e inválida. \n  \n 1 - Verificar DV da chave de NF-e informada neste campo desta DPS;
E0462	NF-e não existe na base de dados do autorizador de NF-e nacional. Informe uma chave de NF-e existente.		
E0464	Uma NF-e cancelada não pode ser informada para dedução/redução.		
E0466	Informe um código de município existente para o documento de nota, conforme tabela de municípios do IBGE.	cMunNFSeMun	O código do município informado para o documento de nota não existe, conforme tabela de municípios do IBGE.
E0468	Informar, obrigatoriamente, o campo de descrição no caso ideDedRed igual a 99 – Outras deduções.	xDescOutDed	O campo de descrição deve ser informado no caso de tpDedRed igual a 99 – Outras deduções.
E0470	Não informar o campo de descrição no caso ideDedRed diferente a 99 – Outras deduções.		
E0472	A data de emissão do documento informado na DPS não pode ser posterior à data de competência da DPS.	dEmiDoc	 A data de emissão do documento informado na DPS não pode ser posterior à data de competência da DPS.
E0474	O valor de dedução/redução não pode ser superior ao valor dedutível/redutível.	vDeducaoReducao	O valor de dedução/redução não pode ser superior ao valor dedutível/redutível.
E0476	O valor de dedução/redução informado na DPS não pode ser superior ao valor do serviço.		
E0477	O grupo de informações para o fornecedor deve ser informado obrigatoriamente para o tipo de documento de dedução/redução informado na DPS.	fornec	O grupo de informações para o fornecedor deve ser informado obrigatoriamente para todos os tipos de documentos informados, exceto para os tipos de documentos NFS-e e NF-e padrões nacionais.
E0478	CNPJ do fornecedor informado na DPS é inválido.	CNPJ	CNPJ informado na DPS é inválido (verificar DV).
E0482	CNPJ do fornecedor informado na DPS não encontrado no cadastro CNPJ.		
E0484	CPF do fornecedor informado na DPS é inválido.	CPF	CPF informado na DPS é inválido (verificar DV).
E0488	CPF do fornecedor informado na DPS não encontrado no cadastro CPF.		
E1538	O NIF ou cNaoNIF do fornecedor deve ser informado quando o grupo de informações de endereço no exterior do fornecedor de serviços for informado.		
E0490	Valor 0 para o motivo da não informação do NIF do fornecedor não é permitido na Sefin do Sistema Nacional NFS-e.		
E0492	O grupo de informações de endereço nacional deve ser informado obrigatoriamente quando o fornecedor for identificado pelo CPF ou CNPJ.	endNac	Se CNPJ ou CPF do fornecedor for informado, então o grupo de informaçoes de endereço nacional do fornecedor deve ser informado obrigatoriamente.     
E0494	O código do município informado na DPS para o endereço do fornecedor do serviço não existe conforme tabela de município do IBGE.	cMun	O código do município informado para o endereço do fornecedor não existe, conforme tabela de municípios do IBGE.
E0496	O CEP informado para o endereço nacional do fornecedor não existe ou não pertence ao município do endereço do fornecedor.	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do fornecedor.
E0498	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o fornecedor for identificado pelo NIF.	endExt	Se o NIF do fornecedor foi informado, então o grupo de informações de endereço no exterior do fornecedor deve ser informado obrigatoriamente.
E0499	O código de país informado para o endereço no exterior do fornecedor não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do fornecedor, conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.	cPais	O código de país informado para o endereço no exterior do fornecedor deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.
E0529	O sistema considera este cenário para a prestação de serviço informada na DPS uma operação tributável. Não é permitido ao emitente da DPS informar que a prestação de serviço se trata de uma exportação de serviço.	tribISSQN	Não é permitido ao emitente informar se tratar de uma situação de exportação de serviço (tribISSQN = 3) para os cenários 6, 10, 34, 38, 66, 80, conforme a planilha "EXPORTACAO_EMISSÃO_NFS-e".
E0530	O sistema considera este cenário para a prestação de serviço informada na DPS uma exportação de serviço. Não é permitido ao emitente da DPS informar que a prestação de serviço se trata de uma operação tributável.		
E0532	O campo que informa sobre a tributação do ISSQN deve ser "4 - Não Incidência", quando houver o serviço prestado for 99.01.01 - Serviços sem a incidência de ISSQN e ICMS.		
E0539	Não é permitido informar não incidência do ISSQN = 4 (Não Incidência) para qualquer subitem da lista nacional de serviço informado na DPS, se o subitem for incidente, conforme a parametrização do município de incidência do ISSQN.		
E0540	Não há incidência do ISSQN (tribISSQN = 4) pois a parametrização do muncípio de incidência do ISSQN indica que o código de serviço prestado, informado na DPS, não é incidente neste município.		
E0590	É obrigatório informar o código do país onde ocorreu o resultado do serviço prestado para os cenários 2, 30, 58, 62, 72, 76, conforme a planilha "EXPORTACAO_EMISSÃO_NFS-e".	cPaisResult	Se, a tributação do ISSQN é igual à Exportação de serviço e Local da Prestação do Serviço é no Brasil e o Serviço prestado tem incidência no Local do Estabelecimento do Prestador, conform
E0591	Não é permitido informar o código do país onde ocorreu o resultado do serviço prestado para os cenários diferentes de 2, 30, 58, 62, 72, 76 conforme a planilha "EXPORTACAO_EMISSÃO_NFS-e".		
E0592	O tipo de imunidade é obrigatório e deve ser informado somente quando o campo referente à tributação do ISSQN for igual a "2 - Imunidade".	tpImunidade	Obrigatório e informado somente quando o campo referente à tributação do ISSQN for igual a 2 (tribISSQN = 2).
